<RTE>
MODEL=facebook/opt-125m, TASK=SST2, MODE=entropy_gradweight_masking_0.999-1e-4-28, LR=0.0001, SEED=28, ACC= 0.9048165137614679
MODEL=facebook/opt-125m, TASK=SST2, MODE=entropy_gradweight_masking_0.999-5e-5-210, LR=5e-05, SEED=210, ACC= 0.9036697247706422
MODEL=facebook/opt-125m, TASK=SST2, MODE=entropy_gradweight_masking_0.999-1e-5-210, LR=1e-05, SEED=210, ACC= 0.908256880733945
MODEL=facebook/opt-125m, TASK=SST2, MODE=entropy_gradweight_masking_0.999-5e-4-210, LR=0.0005, SEED=210, ACC= 0.8864678899082569
MODEL=facebook/opt-125m, TASK=SST2, MODE=entropy_gradweight_masking_0.999-1e-4-210, LR=0.0001, SEED=210, ACC= 0.9139908256880734
MODEL=facebook/opt-125m, TASK=SST2, MODE=entropy_gradweight_masking_0.999-5e-5-8274, LR=5e-05, SEED=8274, ACC= 0.9071100917431193
MODEL=facebook/opt-125m, TASK=SST2, MODE=entropy_gradweight_masking_0.999-1e-5-8274, LR=1e-05, SEED=8274, ACC= 0.8956422018348624
MODEL=facebook/opt-125m, TASK=SST2, MODE=entropy_gradweight_masking_0.999-5e-4-8274, LR=0.0005, SEED=8274, ACC= 0.8956422018348624
MODEL=facebook/opt-125m, TASK=SST2, MODE=entropy_gradweight_masking_0.999-1e-4-8274, LR=0.0001, SEED=8274, ACC= 0.9036697247706422
MODEL=facebook/opt-125m, TASK=SST2, MODE=entropy_gradweight_masking_0.999-5e-5-10283, LR=5e-05, SEED=10283, ACC= 0.8899082568807339
MODEL=facebook/opt-125m, TASK=SST2, MODE=entropy_gradweight_masking_0.999-1e-5-10283, LR=1e-05, SEED=10283, ACC= 0.9059633027522935
MODEL=facebook/opt-125m, TASK=SST2, MODE=entropy_gradweight_masking_0.999-5e-4-10283, LR=0.0005, SEED=10283, ACC= 0.8830275229357798
MODEL=facebook/opt-125m, TASK=SST2, MODE=entropy_gradweight_masking_0.999-1e-4-10283, LR=0.0001, SEED=10283, ACC= 0.8990825688073395
MODEL=facebook/opt-125m, TASK=SST2, MODE=lora-1e-5-28, LR=1e-05, SEED=28, ACC= 0.911697247706422
MODEL=facebook/opt-125m, TASK=SST2, MODE=lora-1e-4-28, LR=0.0001, SEED=28, ACC= 0.9197247706422018
MODEL=facebook/opt-125m, TASK=SST2, MODE=lora-1e-5-210, LR=1e-05, SEED=210, ACC= 0.9139908256880734
MODEL=facebook/opt-125m, TASK=SST2, MODE=lora-1e-4-210, LR=0.0001, SEED=210, ACC= 0.9128440366972477
MODEL=facebook/opt-125m, TASK=SST2, MODE=lora-1e-5-8274, LR=1e-05, SEED=8274, ACC= 0.908256880733945
